index_name,company_name_original,company_name_normalized,symbol,isin,event_type,announced_date,effective_date,source_document,source_reference,mapping_method,mapping_confidence,extraction_confidence,review_status,notes
NIFTY 500,Jubilant Pharmova Ltd.,JUBILANT PHARMOVA,JUBLPHARMA,INE700A01033,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Kalyan Jewellers India Ltd.,KALYAN JEWELLERS INDIA,KALYANKJIL,INE303R01014,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Macrotech Developers Ltd.,MACROTECH DEVELOPERS,LODHA,INE670K01029,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Laxmi Organic Industries Ltd.,LAXMI ORGANIC INDUSTRIES,LXCHEM,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Mastek Ltd.,MASTEK,MASTEK,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Nazara Technologies Ltd.,NAZARA TECHNOLOGIES,NAZARA,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Poonawalla Fincorp Ltd.,POONAWALLA FINCORP,POONAWALLA,INE511C01022,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Praj Industries Ltd.,PRAJ INDUSTRIES,PRAJIND,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Railtel Corporation Of India Ltd.,RAILTEL CORPORATION OF INDIA,RAILTEL,INE0DD101019,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Tata Steel Long Products Ltd.,TATA STEEL LONG PRODUCTS,TATASTLLP,,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Tata Teleservices (Maharashtra) Ltd.,TATA TELESERVICES (MAHARASHTRA),TTML,INE517B01013,ADDED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Akzo Nobel India Ltd.,AKZO NOBEL INDIA,AKZOINDIA,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Balmer Lawrie & Co. Ltd.,BALMER LAWRIE AND CO,BALMLAWRIE,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Bliss GVS Pharma Ltd.,BLISS GVS PHARMA,BLISSGVS,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Dishman Carbogen Amcis Ltd.,DISHMAN CARBOGEN AMCIS,DCAL,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Dish TV India Ltd.,DISH TV INDIA,DISHTV,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Future Consumer Ltd.,FUTURE CONSUMER,FCONSUMER,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,GE Power India Ltd.,GE POWER INDIA,GEPIL,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Garden Reach Shipbuilders & Engineers Ltd.,GARDEN REACH SHIPBUILDERS AND ENGINEERS,GRSE,INE382Z01011,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Gulf Oil Lubricants India Ltd.,GULF OIL LUBRICANTS INDIA,GULFOILLUB,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Himadri Speciality Chemical Ltd.,HIMADRI SPECIALITY CHEMICAL,HSCL,INE019C01026,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Huhtamaki India Ltd.,HUHTAMAKI INDIA,HUHTAMAKI,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,JTEKT India Ltd.,JTEKT INDIA,JTEKTINDIA,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Maharashtra Scooters Ltd.,MAHARASHTRA SCOOTERS,MAHSCOOTER,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Maharashtra Seamless Ltd.,MAHARASHTRA SEAMLESS,MAHSEAMLES,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,MAS Financial Services Ltd.,MAS FINANCIAL SERVICES,MASFIN,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Raymond Ltd.,RAYMOND,RAYMOND,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Responsive Industries Ltd.,RESPONSIVE INDUSTRIES,RESPONIND,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Shoppers Stop Ltd.,SHOPPERS STOP,SHOPERSTOP,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Sundaram Clayton Ltd.,SUNDARAM CLAYTON,SUNCLAYLTD,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Swan Energy Ltd.,SWAN ENERGY,SWANENERGY,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Tata Investment Corporation Ltd.,TATA INVESTMENT CORPORATION,TATAINVEST,INE672A01026,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,VST Industries Ltd.,VST INDUSTRIES,VSTIND,,REMOVED,2021-09-15,2021-09-30,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs15092021.pdf,https://www.niftyindices.com/Press_Release/ind_prs15092021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Replacements in indices and revision in criteria
NIFTY 500,Sona BLW Precision Forgings Ltd.,SONA BLW PRECISION FORGINGS,SONACOMS,INE073K01018,ADDED,2021-10-22,2021-10-29,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs22102021.pdf,https://www.niftyindices.com/Press_Release/ind_prs22102021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in index maintenance guidelines and replacements in indices
NIFTY 500,GMR Infrastructure Ltd.,GMR INFRASTRUCTURE,GMRINFRA,,REMOVED,2021-10-22,2021-10-29,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs22102021.pdf,https://www.niftyindices.com/Press_Release/ind_prs22102021.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in index maintenance guidelines and replacements in indices
NIFTY 500,Aditya Birla Sun Life AMC Ltd.,ADITYA BIRLA SUN LIFE AMC,ABSLAMC,INE404A01024,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Allcargo Logistics Ltd.,ALLCARGO LOGISTICS,ALLCARGO,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Aptus Value Housing Finance India Ltd.,APTUS VALUE HOUSING FINANCE INDIA,APTUS,INE852O01025,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Brightcom Group Ltd.,BRIGHTCOM GROUP,BCG,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Borosil Renewables Ltd.,BOROSIL RENEWABLES,BORORENEW,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Chemplast Sanmar Ltd.,CHEMPLAST SANMAR,CHEMPLASTS,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Clean Science and Technology Ltd.,CLEAN SCIENCE AND TECHNOLOGY,CLEAN,INE227W01023,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Devyani International Ltd.,DEVYANI INTERNATIONAL,DEVYANI,INE872J01023,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Easy Trip Planners Ltd.,EASY TRIP PLANNERS,EASEMYTRIP,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Glenmark Life Sciences Ltd.,GLENMARK LIFE SCIENCES,GLS,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Go Fashion (India) Ltd.,GO FASHION (INDIA),GOCOLORS,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,G R Infraprojects Ltd.,G R INFRAPROJECTS,GRINFRA,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,HLE Glascoat Ltd.,HLE GLASCOAT,HLEGLAS,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Krishna Institute of Medical Sciences Ltd.,KRISHNA INSTITUTE OF MEDICAL SCIENCES,KIMS,INE967H01025,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Latent View Analytics Ltd.,LATENT VIEW ANALYTICS,LATENTVIEW,INE0I7C01011,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,C.E. Info Systems Ltd.,CE INFO SYSTEMS,MAPMYINDIA,INE0BV301023,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Medplus Health Services Ltd.,MEDPLUS HEALTH SERVICES,MEDPLUS,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
NIFTY 500,Metro Brands Ltd.,METRO BRANDS,METROBRAND,,ADDED,2022-02-24,2022-03-31,C:\Users\cores\OneDrive\Desktop\Personal Project\InterSignal\data\reference\nifty500\history\raw\ind_prs24022022_1.pdf,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,EXPLICIT_SYMBOL,HIGH,HIGH,PARSED,Revision in criteria and replacements in indices
